,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,North-West,South-West,East,North-East,North,South-East,West,South
2019-04-09,3.054166666666669,226.15972222222223,1.7534722222222225,16.517361111111104,19.71805555555555,68.50694444444444,19.88958333333333,19.55069444444444,,,,2.397222222222223,1.9562500000000003,1166.0347222222222,0.0,0,1,0,0,0,0,0,0
2019-04-10,4.385416666666665,229.38194444444446,2.554861111111113,18.14375,18.53402777777778,65.98611111111111,18.718055555555566,18.3625,,,,3.4743055555555555,2.8034722222222226,1182.4930555555557,0.0,0,1,0,0,0,0,0,0
2019-04-11,3.543055555555556,240.83333333333334,2.1597222222222228,16.80069444444445,17.559027777777786,69.35416666666667,17.740277777777774,17.38333333333333,,,,2.8874999999999975,2.365277777777777,1166.048611111111,0.0,0,1,0,0,0,0,0,0
2019-04-12,2.8819444444444446,226.06944444444446,1.7548611111111112,19.175000000000008,19.21597222222222,68.79861111111111,19.426388888888873,19.024305555555557,,,,2.386111111111111,1.9638888888888895,1182.236111111111,0.0,0,1,0,0,0,0,0,0
2019-04-13,3.1701388888888893,203.95138888888889,1.8645833333333337,21.34027777777779,23.711111111111105,48.24305555555556,23.958333333333325,23.46041666666666,,,,2.659027777777777,2.097916666666668,1181.3819444444443,0.0,0,1,0,0,0,0,0,0
2019-04-14,6.135416666666664,206.45833333333334,3.4166666666666665,18.851388888888877,22.769444444444453,51.701388888888886,22.978472222222226,22.56944444444445,,,,4.648611111111112,3.715972222222221,1182.076388888889,0.0,0,1,0,0,0,0,0,0
2019-04-15,2.341666666666667,210.46527777777777,1.458333333333333,16.431944444444454,17.81690140845072,80.09859154929578,17.910563380281694,17.732394366197198,,,,2.0027777777777787,1.6861111111111113,1181.7222222222222,0.006944444444444444,0,1,0,0,0,0,0,0
2019-04-16,3.659027777777776,217.82638888888889,2.0361111111111105,18.733333333333334,18.018749999999994,73.4375,18.155555555555548,17.893055555555563,,,,2.8486111111111105,2.2729166666666654,1165.263888888889,0.012500000000000002,0,1,0,0,0,0,0,0
2019-04-17,4.463194444444444,245.77777777777777,2.532638888888889,15.6875,18.015972222222224,70.36111111111111,18.16527777777778,17.87013888888889,,,,3.4798611111111106,2.8034722222222235,1166.6805555555557,0.005555555555555556,0,1,0,0,0,0,0,0
2019-04-18,4.363888888888887,234.50694444444446,2.636111111111112,15.402777777777775,17.827777777777772,65.54861111111111,17.980555555555547,17.66666666666666,,,,3.452083333333334,2.864583333333333,1182.6527777777778,0.0,0,1,0,0,0,0,0,0
2019-04-19,5.025694444444444,245.33333333333334,2.895833333333334,17.069444444444443,16.04166666666667,73.71527777777777,16.220833333333342,15.865972222222233,,,,3.923611111111112,3.220833333333333,1181.423611111111,0.03333333333333333,0,1,0,0,0,0,0,0
2019-04-20,4.947916666666668,242.44444444444446,2.784722222222223,17.13333333333333,16.748611111111103,71.23611111111111,16.90833333333333,16.610416666666662,,,,3.8006944444444457,3.0506944444444444,1182.2430555555557,0.01666666666666667,0,1,0,0,0,0,0,0
2019-04-21,5.327083333333333,259.3958333333333,3.029166666666667,19.781249999999996,14.093055555555562,70.72916666666667,14.293055555555561,13.906249999999998,,,,4.2270833333333355,3.3833333333333324,1181.486111111111,0.04027777777777779,0,1,0,0,0,0,0,0
2019-04-22,5.24097222222222,236.90972222222223,3.0201388888888885,16.02847222222222,14.70972222222222,70.71527777777777,14.869444444444444,14.550694444444437,,,,4.078472222222222,3.300694444444444,1166.0347222222222,0.003472222222222222,0,1,0,0,0,0,0,0
2019-04-23,3.2784722222222227,231.26388888888889,2.034722222222223,16.807638888888892,16.951388888888886,66.31944444444444,17.104861111111106,16.80069444444444,,,,2.724305555555554,2.2534722222222223,1182.9652777777778,0.0,0,1,0,0,0,0,0,0
2019-04-24,3.0,233.47916666666666,1.6854166666666666,22.099305555555567,20.063194444444456,55.173611111111114,20.254861111111097,19.881249999999998,,,,2.4756944444444433,1.9229166666666657,1183.5625,0.0,0,1,0,0,0,0,0,0
2019-04-25,2.689583333333333,235.40972222222223,1.6027777777777776,19.516666666666666,21.654166666666658,51.020833333333336,21.891666666666655,21.42222222222222,,,,2.2541666666666673,1.8159722222222219,1182.7430555555557,0.0,0,1,0,0,0,0,0,0
2019-04-26,2.6020833333333324,229.53472222222223,1.4743055555555558,21.976388888888902,22.93819444444445,47.923611111111114,23.155555555555562,22.72708333333334,,,,2.1249999999999996,1.6729166666666673,1165.673611111111,0.0,0,1,0,0,0,0,0,0
2019-04-27,2.40625,222.27083333333334,1.429166666666667,20.51666666666667,22.76180555555556,48.979166666666664,22.968750000000007,22.547916666666666,,,,2.0520833333333313,1.6631944444444444,1165.9652777777778,0.0,0,1,0,0,0,0,0,0
2019-04-28,2.563888888888888,216.97916666666666,1.4805555555555558,17.801388888888884,22.438888888888897,51.81944444444444,22.647222222222222,22.22916666666667,,,,2.0979166666666678,1.6819444444444445,1182.5972222222222,0.0,0,1,0,0,0,0,0,0
2019-04-29,2.233333333333333,209.75694444444446,1.3506944444444444,20.422222222222217,23.36319444444445,50.84027777777778,23.551388888888876,23.171527777777783,,,,1.9118055555555549,1.574305555555556,1166.0694444444443,0.0,0,1,0,0,0,0,0,0
2019-04-30,3.2736111111111095,231.36805555555554,1.9874999999999998,14.866666666666662,23.87777777777778,54.81944444444444,24.052083333333332,23.71875,,,,2.6416666666666675,2.2048611111111107,1164.9166666666667,0.0,0,1,0,0,0,0,0,0
2019-05-01,2.0965034965034968,228.43356643356643,1.2279720279720274,20.163636363636364,23.758741258741264,53.46153846153846,23.96853146853145,23.545454545454543,,,,1.7692307692307685,1.418881118881119,1179.923076923077,0.0,0,1,0,0,0,0,0,0
2019-05-02,3.5500000000000007,196.16666666666666,1.8993055555555556,25.610416666666676,26.693750000000005,45.604166666666664,26.95069444444445,26.43819444444445,,,,2.8583333333333325,2.269444444444444,1165.7222222222222,0.0,0,1,0,0,0,0,0,0
2019-05-03,4.386805555555558,236.97916666666666,2.552083333333334,18.242361111111116,22.725,52.375,22.920138888888886,22.566666666666677,,,,3.457638888888889,2.8291666666666684,1182.3055555555557,0.0,0,1,0,0,0,0,0,0
2019-05-04,3.777083333333334,226.21527777777777,2.2201388888888896,21.161805555555546,21.23750000000001,61.236111111111114,21.4125,21.070833333333333,,,,3.0194444444444444,2.4347222222222236,1182.8194444444443,0.0,0,1,0,0,0,0,0,0
2019-05-05,2.565972222222223,222.09027777777777,1.5236111111111104,20.911805555555567,24.481944444444448,50.458333333333336,24.733333333333338,24.22708333333334,,,,2.186111111111112,1.7631944444444438,1182.8541666666667,0.0,0,1,0,0,0,0,0,0
2019-05-06,3.923076923076923,206.06993006993008,2.0958041958041957,23.046853146853156,27.560139860139877,37.83216783216783,27.83776223776225,27.29720279720281,,,,3.064335664335664,2.456643356643356,1178.06993006993,0.0,0,1,0,0,0,0,0,0
2019-05-07,5.932638888888888,240.34027777777777,3.341666666666667,16.818749999999998,22.490277777777777,56.916666666666664,22.660416666666674,22.33958333333333,,,,4.502083333333336,3.5958333333333337,1165.673611111111,0.0,0,1,0,0,0,0,0,0
2019-05-08,4.3826388888888905,229.18055555555554,2.4840277777777775,18.012499999999996,20.647916666666667,56.208333333333336,20.827777777777776,20.480555555555547,,,,3.4888888888888885,2.7319444444444447,1181.9583333333333,0.0,0,1,0,0,0,0,0,0
2019-05-09,4.615827338129496,231.23741007194243,2.628776978417266,18.44388489208633,20.116546762589937,57.33812949640288,20.279856115107897,19.961870503597126,,,,3.558992805755397,2.8906474820143884,1157.1942446043165,0.0,0,1,0,0,0,0,0,0
2019-05-10,4.433333333333334,199.25,2.6076388888888893,16.595138888888886,19.778472222222234,58.68055555555556,19.944444444444454,19.621527777777782,,,,3.4951388888888903,2.8375000000000004,1166.2291666666667,0.0,0,1,0,0,0,0,0,0
2019-05-11,2.824305555555556,214.03472222222223,1.7381944444444444,18.12569444444444,21.569444444444454,53.25,21.748611111111124,21.38888888888889,,,,2.3201388888888874,1.9499999999999997,1181.986111111111,0.0,0,1,0,0,0,0,0,0
2019-05-12,4.055147058823529,237.0514705882353,2.511029411764707,18.41617647058824,25.144444444444446,40.979166666666664,25.353472222222216,24.93124999999999,,,,3.3220588235294115,2.7044117647058825,1162.0955882352941,0.0,0,1,0,0,0,0,0,0
2019-05-13,3.2722222222222217,236.60416666666666,1.9722222222222219,17.529166666666672,26.44305555555557,33.63194444444444,26.65138888888889,26.23263888888887,,,,2.7145833333333345,2.181944444444445,1167.1319444444443,0.0,0,1,0,0,0,0,0,0
2019-05-14,2.412499999999999,205.56944444444446,1.4458333333333329,20.97152777777778,26.86041666666667,35.63194444444444,27.077777777777783,26.636111111111106,,,,1.972916666666666,1.6187499999999997,1182.5833333333333,0.0,0,1,0,0,0,0,0,0
2019-05-15,3.0534722222222213,149.59027777777777,1.7854166666666673,26.082638888888898,28.400694444444444,43.50694444444444,28.727083333333358,28.110416666666676,,,,2.5375,2.0256944444444445,1182.375,0.0,1,0,0,0,0,0,0,0
2019-05-16,3.0597222222222213,222.6875,1.7826388888888889,21.641666666666666,28.172916666666666,44.701388888888886,28.390972222222228,27.923611111111104,,,,2.511805555555556,2.0180555555555566,1182.375,0.0,0,1,0,0,0,0,0,0
2019-05-17,4.7993055555555575,219.52777777777777,2.6680555555555565,18.27986111111111,27.134722222222234,45.451388888888886,27.34027777777777,26.92222222222222,,,,3.6027777777777774,2.919444444444445,1166.1597222222222,0.0,0,1,0,0,0,0,0,0
2019-05-18,4.249999999999999,227.90972222222223,2.602083333333333,15.007638888888888,24.863888888888894,50.68055555555556,25.06736111111111,24.672916666666676,,,,3.3763888888888887,2.812500000000001,1182.4375,0.0,0,1,0,0,0,0,0,0
2019-05-19,4.1812499999999995,212.96527777777777,2.3215277777777774,20.511111111111113,24.028472222222224,47.111111111111114,24.203472222222217,23.850694444444443,,,,3.173611111111112,2.538888888888889,1181.9166666666667,0.0,0,1,0,0,0,0,0,0
2019-05-20,3.0486111111111107,178.60416666666666,1.7763888888888895,22.18124999999999,25.74861111111111,55.49305555555556,25.92430555555556,25.549305555555563,,,,2.4694444444444454,1.9833333333333347,1166.923611111111,0.0,0,1,0,0,0,0,0,0
2019-05-21,2.788194444444443,189.29166666666666,1.7062499999999998,19.815972222222214,27.72777777777778,49.236111111111114,27.955555555555563,27.48750000000002,,,,2.2937499999999997,1.906944444444444,1181.4652777777778,0.0,1,0,0,0,0,0,0,0
2019-05-22,2.432638888888889,227.56944444444446,1.4243055555555548,19.157638888888886,29.288888888888877,32.65972222222222,29.53541666666667,29.04861111111111,,,,2.0416666666666674,1.6388888888888884,1165.326388888889,0.0,0,1,0,0,0,0,0,0
2019-05-23,1.9375,215.19444444444446,1.1770833333333337,19.836805555555557,31.227083333333333,29.729166666666668,31.4673611111111,31.000694444444434,,,,1.6562499999999998,1.3687500000000001,1182.8402777777778,0.0,0,1,0,0,0,0,0,0
2019-05-24,3.1354166666666674,219.35416666666666,1.7562500000000003,21.073611111111106,32.253472222222214,29.645833333333332,32.49930555555556,32.020138888888894,,,,2.4944444444444454,2.0069444444444446,1166.3055555555557,0.0,0,1,0,0,0,0,0,0
2019-05-25,4.420138888888887,157.375,2.642361111111112,16.565972222222218,27.15347222222223,59.604166666666664,27.3076388888889,27.013194444444444,,,,3.44375,2.8583333333333343,1183.0416666666667,0.0,1,0,0,0,0,0,0,0
2019-05-26,3.842361111111113,164.68055555555554,2.3270833333333334,17.445833333333322,24.7986111111111,56.548611111111114,24.972916666666677,24.63541666666668,,,,3.067361111111111,2.5486111111111107,1166.8194444444443,0.0,1,0,0,0,0,0,0,0
2019-05-27,2.919444444444444,167.83333333333334,1.7972222222222227,17.309027777777775,25.71805555555556,60.44444444444444,25.872916666666658,25.552777777777766,,,,2.377083333333333,1.9673611111111116,1181.1944444444443,0.0,1,0,0,0,0,0,0,0
2019-05-28,2.3187499999999996,142.41666666666666,1.411805555555555,17.745138888888885,26.91527777777777,66.625,27.044444444444462,26.775000000000002,,,,1.9083333333333325,1.5486111111111105,1181.888888888889,0.0,1,0,0,0,0,0,0,0
2019-05-29,2.8354166666666676,142.69444444444446,1.7465277777777781,21.420138888888886,29.256250000000005,57.208333333333336,29.45208333333333,29.05972222222222,,,,2.377083333333335,1.938888888888888,1164.9375,0.0,1,0,0,0,0,0,0,0
2019-05-30,3.240277777777779,225.52777777777777,1.8298611111111103,25.16458333333333,31.73611111111111,35.75694444444444,31.977083333333326,31.51388888888889,,,,2.640277777777778,2.0402777777777765,1182.1180555555557,0.0,0,1,0,0,0,0,0,0
2019-05-31,3.143749999999999,191.11805555555554,1.6875000000000007,24.42777777777777,31.753472222222214,38.1875,32.02708333333334,31.50069444444445,,,,2.4770833333333337,1.9180555555555567,1182.236111111111,0.0,0,1,0,0,0,0,0,0
2019-06-01,3.352083333333331,181.31944444444446,1.927777777777778,21.083333333333336,29.199999999999996,53.30555555555556,29.397916666666674,29.015972222222217,,,,2.661805555555555,2.15625,1182.3333333333333,0.0,1,0,0,0,0,0,0,0
2019-06-02,2.763636363636364,164.46153846153845,1.6398601398601396,19.022377622377626,27.992307692307698,60.81818181818182,28.154545454545453,27.835664335664337,,,,2.2566433566433566,1.8279720279720282,1163.1818181818182,0.0,1,0,0,0,0,0,0,0
2019-06-03,3.098611111111112,148.82638888888889,1.8041666666666676,23.052083333333336,29.643055555555538,56.11805555555556,29.812499999999986,29.465972222222206,,,,2.523611111111112,2.011805555555556,1182.2152777777778,0.0,1,0,0,0,0,0,0,0
2019-06-04,3.748611111111111,174.9375,2.200694444444444,18.97500000000001,30.69374999999999,47.30555555555556,30.888888888888896,30.504166666666677,,,,3.0027777777777764,2.450000000000001,1183.013888888889,0.0,1,0,0,0,0,0,0,0
2019-06-05,4.663194444444445,234.18055555555554,2.856944444444443,19.592361111111114,31.918055555555547,36.40972222222222,32.125000000000014,31.722222222222214,,,,3.7465277777777777,3.127083333333333,1182.8680555555557,0.0,0,1,0,0,0,0,0,0
2019-06-06,2.7013888888888884,167.40972222222223,1.4743055555555555,31.11180555555556,30.6652777777778,43.94444444444444,30.865277777777788,30.4611111111111,,,,2.2652777777777757,1.7500000000000002,1182.298611111111,0.0,1,0,0,0,0,0,0,0
2019-06-07,3.6555555555555577,189.88194444444446,2.154166666666667,24.215972222222224,31.169444444444466,39.979166666666664,31.352083333333326,30.979861111111106,,,,2.98125,2.4194444444444447,1181.625,0.0,0,1,0,0,0,0,0,0
2019-06-08,3.886111111111113,191.15277777777777,2.205555555555557,19.195138888888895,28.53055555555555,60.94444444444444,28.656944444444452,28.399305555555554,,,,3.0076388888888888,2.4125000000000023,1165.513888888889,0.0,0,1,0,0,0,0,0,0
