,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,Fail,North-East,North-West,South-East,South-West,South,East,West,North
2019-05-02,4.249999999999997,190.15277777777777,1.9368055555555554,24.8076388888889,21.66111111111109,39.145833333333336,21.96249999999999,21.341666666666665,,,,2.763888888888889,2.159027777777778,1182.451388888889,0.0,0,0,0,0,1,0,0,0,0
2019-05-03,6.211111111111116,201.72916666666666,3.249305555555557,17.660416666666656,15.430555555555552,63.68055555555556,15.650694444444444,15.222916666666672,,,,4.1611111111111105,3.403472222222222,1182.486111111111,0.0,0,0,0,0,1,0,0,0,0
2019-05-04,5.709722222222223,165.88888888888889,2.971527777777776,19.772222222222222,13.462499999999999,85.91666666666667,13.681250000000004,13.252777777777778,,,,3.884722222222221,3.1548611111111104,1165.2083333333333,0.0,0,0,0,0,1,0,0,0,0
2019-05-05,5.262499999999999,118.5625,2.705555555555557,20.47847222222223,22.025000000000002,25.82638888888889,22.277083333333323,21.773611111111105,,,,3.6000000000000023,2.8770833333333337,1166.513888888889,0.0,0,0,1,0,0,0,0,0,0
2019-05-06,5.797902097902098,170.24475524475525,2.6559440559440564,26.144055944055935,23.035664335664343,30.923076923076923,23.31328671328672,22.77762237762237,,,,3.7580419580419604,2.886713286713287,1178.020979020979,0.0,0,0,1,0,0,0,0,0,0
2019-05-07,5.656944444444445,294.1736111111111,2.3513888888888896,30.0326388888889,13.64861111111111,89.13194444444444,13.908333333333324,13.415277777777773,,,,3.4652777777777786,2.527083333333335,1182.111111111111,0.0,0,0,0,1,0,0,0,0,0
2019-05-08,5.550694444444443,229.0625,2.6736111111111116,23.325694444444444,12.25625000000001,87.07638888888889,12.495833333333328,12.029861111111112,,,,3.609027777777778,2.825000000000001,1182.0347222222222,0.0,0,0,0,0,1,0,0,0,0
2019-05-09,5.510071942446045,230.76978417266187,2.630935251798561,22.238848920863315,11.764028776978417,85.57553956834532,12.002877697841727,11.513669064748203,,,,3.5323741007194243,2.7892086330935246,1157.1870503597122,0.0,0,0,0,0,1,0,0,0,0
2019-05-10,4.311805555555554,173.36111111111111,2.209027777777777,19.716666666666676,11.90069444444444,82.01388888888889,12.156944444444452,11.67847222222222,,,,2.928472222222224,2.356944444444444,1181.1666666666667,0.0,0,0,1,0,0,0,0,0,0
2019-05-11,3.441666666666665,139.07638888888889,1.7833333333333339,19.475694444444446,16.689583333333335,39.53472222222222,16.93611111111111,16.432638888888896,,,,2.4479166666666665,1.9305555555555556,1183.2430555555557,0.0,0,0,1,0,0,0,0,0,0
2019-05-12,5.915972222222221,112.72916666666667,3.1555555555555554,22.16180555555554,21.87916666666667,28.57638888888889,22.11527777777778,21.647916666666667,,,,4.104861111111113,3.3173611111111097,1181.6944444444443,0.0,0,0,1,0,0,0,0,0,0
2019-05-13,5.687499999999997,124.52083333333333,3.017361111111113,23.52152777777779,23.089583333333337,22.4375,23.340972222222213,22.855555555555544,,,,3.989583333333334,3.1993055555555556,1181.986111111111,0.0,0,0,1,0,0,0,0,0,0
2019-05-14,3.47986111111111,129.99305555555554,1.883333333333334,20.977777777777774,25.283333333333324,22.65972222222222,25.536805555555542,25.027083333333344,,,,2.5534722222222204,2.015972222222224,1166.125,0.0,0,0,1,0,0,0,0,0,0
2019-05-15,6.033333333333332,65.86805555555556,3.287500000000002,19.424999999999997,27.199999999999992,20.756944444444443,27.43125,26.976388888888884,,,,4.254166666666667,3.481944444444444,1181.6319444444443,0.0,0,1,0,0,0,0,0,0,0
2019-05-16,4.692361111111112,134.77777777777777,2.509027777777778,20.047916666666648,25.997916666666658,26.15277777777778,26.284722222222232,25.729166666666675,,,,3.2868055555555564,2.6638888888888883,1181.5833333333333,0.0,0,0,1,0,0,0,0,0,0
2019-05-17,3.4652777777777777,189.32638888888889,1.7027777777777773,21.911111111111108,23.595833333333346,43.576388888888886,23.827083333333338,23.363888888888894,,,,2.3395833333333336,1.8430555555555554,1181.4722222222222,0.0,0,0,0,0,1,0,0,0,0
2019-05-18,4.548611111111112,145.27777777777777,2.4423611111111105,16.53819444444444,17.638194444444448,48.15277777777778,17.854861111111102,17.420833333333334,,,,3.152777777777778,2.5784722222222216,1165.6875,0.0,0,0,1,0,0,0,0,0,0
2019-05-19,6.277083333333331,162.11111111111111,3.438194444444443,18.072916666666664,17.295833333333327,45.548611111111114,17.49374999999999,17.09652777777778,,,,4.281250000000001,3.545833333333333,1182.388888888889,0.0,0,0,1,0,0,0,0,0,0
2019-05-20,7.827083333333334,119.27777777777777,4.2465277777777795,19.84374999999999,21.238571428571422,41.628571428571426,21.414285714285725,21.050714285714292,,,,5.329861111111111,4.411805555555555,1181.7083333333333,0.0,0,1,0,0,0,0,0,0,0
2019-05-21,5.685416666666667,120.59722222222223,3.1111111111111107,20.563194444444438,24.924999999999997,27.15277777777778,25.128472222222232,24.71527777777777,,,,3.9041666666666677,3.2597222222222233,1181.423611111111,0.0,0,0,1,0,0,0,0,0,0
2019-05-22,4.793055555555556,114.07638888888889,2.6340277777777774,18.36527777777778,27.167361111111113,18.458333333333332,27.358333333333338,26.977777777777774,,,,3.390277777777776,2.7673611111111107,1165.0625,0.0,0,0,1,0,0,0,0,0,0
2019-05-23,3.0270833333333327,146.34027777777777,1.672916666666667,16.698611111111116,30.328472222222217,13.42361111111111,30.525694444444444,30.12569444444445,,,,2.188888888888888,1.7798611111111111,1182.4305555555557,0.0,0,0,1,0,0,0,0,0,0
2019-05-24,4.270833333333332,185.99305555555554,2.0694444444444446,22.27777777777778,29.220833333333346,18.36111111111111,29.457638888888898,28.988194444444446,,,,2.8291666666666666,2.2111111111111112,1166.326388888889,0.0,0,0,1,0,0,0,0,0,0
2019-05-25,4.900000000000002,90.34027777777777,2.847222222222222,16.45208333333333,19.84166666666666,57.770833333333336,20.054166666666664,19.630555555555546,,,,3.5270833333333322,2.9687499999999996,1182.1180555555557,0.0,0,1,0,0,0,0,0,0,0
2019-05-26,4.242361111111111,102.20138888888889,2.396527777777778,16.35208333333333,18.17013888888889,43.576388888888886,18.435416666666658,17.907638888888886,,,,3.0375000000000005,2.5493055555555553,1165.7916666666667,0.0,0,1,0,0,0,0,0,0,0
2019-05-27,3.7298611111111106,110.02083333333333,2.0527777777777776,20.711111111111105,20.888194444444448,41.979166666666664,21.145833333333343,20.62569444444445,,,,2.663888888888889,2.1944444444444446,1166.2847222222222,0.0,0,0,1,0,0,0,0,0,0
2019-05-28,5.731249999999999,105.63194444444444,3.120833333333334,18.045138888888875,24.449305555555558,38.77777777777778,24.728472222222226,24.18541666666667,,,,3.963194444444443,3.2715277777777776,1182.9930555555557,0.0,0,1,0,0,0,0,0,0,0
2019-05-29,6.8784722222222205,136.91666666666666,3.7006944444444434,19.899305555555564,28.00486111111112,22.5,28.251388888888883,27.750694444444434,,,,4.699305555555558,3.870833333333333,1182.326388888889,0.0,0,0,1,0,0,0,0,0,0
2019-05-30,6.911111111111114,130.22222222222223,3.7236111111111114,22.359722222222253,29.39930555555556,21.11111111111111,29.62083333333333,29.186111111111117,,,,4.672222222222222,3.888194444444446,1166.0555555555557,0.0,0,0,1,0,0,0,0,0,0
2019-05-31,6.607638888888886,127.14583333333333,3.665972222222221,21.11458333333333,28.1111111111111,25.381944444444443,28.31527777777778,27.91527777777778,,,,4.499305555555555,3.811111111111112,1164.826388888889,0.0,0,0,1,0,0,0,0,0,0
2019-06-01,5.933333333333332,113.06944444444444,3.4729166666666655,15.482638888888886,24.02847222222223,33.388888888888886,24.184722222222216,23.884027777777778,,,,4.131944444444444,3.5777777777777775,1164.5902777777778,0.0,0,1,0,0,0,0,0,0,0
2019-06-02,6.495070422535211,110.35211267605634,3.795070422535212,16.080281690140843,23.37394366197183,44.098591549295776,23.58309859154929,23.170422535211273,,,,4.592253521126758,3.92112676056338,1179.3450704225352,0.0,0,1,0,0,0,0,0,0,0
2019-06-03,11.011111111111111,82.95833333333333,6.117361111111117,17.579861111111107,25.39930555555557,30.958333333333332,25.54027777777779,25.2625,,,,7.283333333333331,6.2972222222222225,1182.9097222222222,0.0,0,1,0,0,0,0,0,0,0
2019-06-04,9.357638888888886,76.375,5.227777777777779,17.615972222222222,25.39652777777777,33.61805555555556,25.55416666666667,25.240972222222233,,,,6.315972222222222,5.402083333333332,1181.173611111111,0.0,0,1,0,0,0,0,0,0,0
2019-06-05,6.915277777777776,78.96527777777777,3.795138888888889,17.200000000000003,26.731944444444448,29.270833333333332,26.93194444444445,26.543750000000006,,,,4.795138888888887,3.9750000000000014,1182.2777777777778,0.0,0,1,0,0,0,0,0,0,0
2019-06-06,6.075694444444448,111.68055555555556,3.310416666666667,18.025000000000002,25.022222222222226,33.104166666666664,25.22916666666667,24.812499999999986,,,,4.177083333333334,3.49375,1181.9930555555557,0.0,0,1,0,0,0,0,0,0,0
2019-06-07,7.024305555555555,77.35416666666667,3.843749999999998,17.383333333333333,23.480555555555554,36.44444444444444,23.658333333333317,23.306250000000016,,,,4.8305555555555575,4.024305555555554,1181.4305555555557,0.0,0,1,0,0,0,0,0,0,0
2019-06-08,4.811805555555555,144.72916666666666,2.4895833333333326,23.099999999999994,21.39027777777779,73.06944444444444,21.619444444444454,21.16875000000001,,,,3.317361111111109,2.6645833333333337,1182.638888888889,0.0,0,0,1,0,0,0,0,0,0
2019-06-09,3.5104166666666656,211.01388888888889,1.6340277777777779,24.262499999999996,19.891666666666655,77.10416666666667,20.09652777777778,19.665972222222234,,,,2.3819444444444446,1.7819444444444446,1181.4305555555557,0.0,0,0,0,0,1,0,0,0,0
