,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,North-West,South-East,South-West,East,North-East,North,West,South
2019-06-04,4.950694444444445,177.40972222222223,2.6138888888888903,18.578472222222217,25.670138888888886,62.77777777777778,25.879861111111115,25.438888888888894,320.84722222222223,,,3.6298611111111114,2.8423611111111127,1165.1875,0.0,1,0,0,0,0,0,0,0
2019-06-05,4.948611111111111,163.38194444444446,2.611805555555556,20.975,26.76666666666667,58.72222222222222,27.01527777777777,26.529166666666672,324.3263888888889,,,3.634722222222222,2.8423611111111113,1181.798611111111,0.0,1,0,0,0,0,0,0,0
2019-06-06,5.008333333333333,187.96527777777777,2.5243055555555545,23.89930555555556,25.645833333333336,69.20138888888889,25.840277777777768,25.472916666666674,216.13888888888889,,,3.5972222222222223,2.755555555555554,1182.2222222222222,0.0,0,0,1,0,0,0,0,0
2019-06-07,5.1284722222222205,231.52777777777777,2.420833333333334,25.415277777777774,24.99652777777778,75.03472222222223,25.208333333333332,24.793055555555554,331.0416666666667,,,3.536111111111112,2.65,1180.4375,0.0,0,0,1,0,0,0,0,0
2019-06-08,3.5083333333333333,260.15277777777777,1.786111111111111,22.018750000000008,23.32569444444444,75.39583333333333,23.54375,23.108333333333338,294.97222222222223,,,2.688194444444443,1.9756944444444453,1182.625,0.0,0,0,1,0,0,0,0,0
2019-06-09,3.763888888888889,202.95138888888889,2.0409722222222224,20.079166666666676,23.613888888888894,71.11805555555556,23.86527777777777,23.36597222222222,337.7638888888889,,,2.8993055555555554,2.2423611111111104,1182.8402777777778,0.0,0,0,1,0,0,0,0,0
2019-06-10,4.085416666666668,200.20138888888889,2.245833333333333,19.856250000000017,26.81597222222222,45.333333333333336,27.140277777777783,26.47847222222221,343.97222222222223,,,3.225694444444444,2.484722222222222,1182.298611111111,0.0,0,0,1,0,0,0,0,0
2019-06-11,3.8937062937062916,168.4125874125874,2.1020979020979027,22.490209790209786,28.949650349650344,35.27972027972028,29.26573426573426,28.654545454545456,336.6363636363636,,,3.0279720279720266,2.3167832167832167,1182.4895104895104,0.0,1,0,0,0,0,0,0,0
2019-06-12,4.199305555555554,257.875,2.1812499999999995,21.968055555555562,25.249305555555562,72.22916666666667,25.488888888888887,25.00486111111111,326.90972222222223,,,3.255555555555557,2.424305555555555,1183.1597222222222,0.0,0,0,1,0,0,0,0,0
2019-06-13,4.114583333333334,242.89583333333334,2.2826388888888878,19.604861111111113,24.17708333333333,70.34027777777777,24.413888888888888,23.92638888888889,320.34722222222223,,,3.2277777777777765,2.479861111111111,1181.9305555555557,0.0,0,0,1,0,0,0,0,0
2019-06-14,3.9465277777777783,217.55555555555554,2.077777777777777,20.670833333333338,24.52499999999999,70.5625,24.7763888888889,24.28472222222222,297.30555555555554,,,2.990277777777779,2.2888888888888888,1164.6527777777778,0.0,0,0,1,0,0,0,0,0
